perm_sms,perm_location,perm_camera,perm_microphone,perm_contacts,perm_storage,perm_admin,perm_boot,perm_system_alert,perm_install_packages,total_permissions,dangerous_perm_count,network_connections_count,background_exec_frequency,suspicious_api_calls_count,data_exfil_volume_kb,min_sdk_version,target_sdk_version,apk_entropy,hash_reputation_score,is_malicious
0,0,1,1,1,1,0,1,1,0,32,10,35,6.616472402021566,24,9854.933325227512,19,26,6.820832586247925,22.720232955006093,1
1,0,1,1,1,1,0,1,0,1,25,16,39,5.9739903760411455,15,12765.314065126164,19,26,7.519396830931575,30.129749593672813,1
0,1,0,1,1,1,1,1,1,1,41,17,35,7.629531560850682,7,6834.265725282986,19,29,7.99,20.250898520336275,1
0,1,1,1,0,1,0,0,0,0,4,2,1,2.929762494171551,2,145.5078644502035,23,32,5.014709806487871,90.32455097607617,0
0,0,0,0,0,0,0,0,0,0,11,2,3,1.453212367029662,0,99.73113819990202,26,33,5.159374627763759,80.50484343215884,0
1,1,0,1,1,1,0,1,1,1,43,13,16,7.770610869986027,5,9943.206850367553,16,26,6.721436364134256,28.402698442086756,1
0,0,0,0,1,0,0,0,0,0,3,3,1,0.6757064353210989,0,97.02690344338528,30,30,4.96866685975492,93.55975200503588,0
1,1,1,1,0,1,1,1,1,0,36,9,37,6.497167001299876,21,13199.840149138008,23,29,7.112396536356932,19.688734129843365,1
0,1,0,0,0,0,0,0,0,0,7,3,4,0.7193152060919353,1,73.39900023683023,28,31,5.981401612095198,95.13362195675462,0
0,1,0,1,1,1,1,1,1,1,24,9,47,5.765844910410853,20,17932.987005527495,16,30,7.99,21.462349021313006,1
1,0,1,1,1,1,0,0,0,1,14,16,42,6.733171413118354,14,13305.345519178523,19,28,7.167402326634423,3.403325494206051,1
1,1,1,1,1,1,1,1,1,0,19,5,21,6.794955944932081,22,15219.519122299698,19,26,7.314588516827002,25.511689316766738,1
0,0,0,0,0,0,0,0,0,0,12,0,2,1.5762849094272573,0,208.59867744676413,26,34,6.148940111238352,92.97670274016893,0
0,0,0,0,0,0,0,0,0,0,11,2,2,2.7871960799818725,0,8.966366348040252,26,34,6.087330497688834,95.0596804914523,0
0,0,0,0,0,0,0,0,0,0,12,3,1,0.8754658998849781,1,157.207818779322,28,30,6.061437999280191,95.2954360912742,0
0,0,0,0,1,0,0,0,0,0,4,0,3,1.941754867089188,2,183.41250820848074,28,33,5.615395271440439,92.94754964741523,0
1,1,1,1,1,1,0,1,1,0,12,17,22,6.9684721527078874,23,17500.828844366213,23,30,7.440214254059423,1.4950091874591998,1
0,0,0,0,0,1,0,0,0,0,5,0,3,2.5176194098618088,1,472.13804872435946,26,30,5.967560368347977,90.27295491664168,0
1,1,0,1,1,0,1,1,1,0,33,9,47,8.659296635753854,23,23239.79817949145,19,29,7.108172052834327,28.622585614260764,1
0,1,0,0,0,1,0,0,0,0,11,3,3,1.8483826519612294,1,396.1414995296408,30,33,4.341316447025114,85.13040495815846,0
0,0,1,0,0,1,0,1,0,0,3,0,3,2.7066684351106813,2,184.0478038203667,26,34,6.248797881873982,85.71301463268551,0
1,1,1,1,1,0,1,1,0,1,33,8,13,9.41673547273469,23,23607.656303653042,19,29,7.589792839977279,4.606949592702505,1
1,1,1,0,1,1,1,1,0,1,12,7,48,8.22592630263689,15,8832.072980015508,23,30,7.99,3.0238242119747216,1
0,0,0,0,0,1,0,0,0,0,3,2,4,0.11317766406767016,2,96.43104995154563,30,34,6.336699869052832,82.06263826804478,0
1,1,1,1,0,1,0,1,0,1,36,8,23,9.324893497669185,22,13374.552229104464,16,29,7.296989183175382,33.850858979631646,1
0,1,0,0,0,1,0,0,0,0,5,1,0,0.4831706199089474,0,180.069243360799,23,30,6.810169635355507,91.62880004324387,0
1,0,1,0,1,1,1,1,0,1,14,13,23,7.672707817384864,18,13629.707726513598,19,28,6.5,17.54811135561452,1
0,1,0,0,0,1,0,0,0,0,13,1,6,0.5456322792342487,0,54.136200031752566,30,32,4.974779038698945,99.55548182294002,0
0,0,0,0,0,0,0,0,0,0,11,0,1,0.32168893168242074,0,251.1564868240811,21,30,5.141997062472131,95.86011312878665,0
0,0,0,0,0,0,0,0,0,0,10,3,7,1.4639218120526816,2,496.2032445313791,26,33,5.730629387609619,95.95063428275942,0
0,0,0,0,1,1,0,0,0,0,13,3,0,0.7933956675403835,0,152.33840918442618,28,32,6.225859669909112,89.72383896133137,0
0,0,1,0,0,1,0,0,0,0,4,2,4,0.015583478293701547,2,375.13606761065654,26,31,6.136116902966186,91.4548949297727,0
0,0,0,0,0,1,0,0,0,0,10,1,5,2.7791270949487283,0,372.1387428184798,26,34,6.034686453474465,83.75312120828008,0
1,1,0,1,1,1,0,1,1,0,12,6,58,5.557879581602928,12,22240.934243618492,19,28,7.745950101816031,34.46223683698191,1
0,1,0,0,0,0,0,0,0,0,3,0,6,2.383135857495163,0,459.58448341080526,30,32,4.733129045817435,87.64229871129754,0
1,1,1,0,1,1,1,1,0,0,31,16,38,8.538959966526196,19,4255.570199931196,19,28,7.882415581749921,13.29029970548973,1
0,0,0,0,0,0,0,0,0,0,3,2,7,1.4490023199153832,1,260.4755843629423,26,30,4.730668871540832,91.3770433592825,0
1,0,1,0,1,1,0,1,0,1,20,8,10,7.889666542521457,4,10219.995174786247,19,26,7.7510000496153415,22.168634008846556,1
0,1,1,0,0,1,0,0,0,0,6,0,1,2.7660033093164618,1,56.36306655254141,23,30,5.32414021028577,93.41337398952032,0
1,1,0,0,1,0,1,1,1,0,18,13,55,9.446187232545526,4,3083.092504348971,19,28,7.7466567277103655,27.06341148343549,1
0,0,0,0,0,0,0,1,0,0,7,0,0,2.9804187733646255,0,424.7200799498654,21,30,5.038558092654396,94.46911782508383,0
0,1,0,0,0,0,0,0,0,0,3,2,2,1.9510255659396458,0,46.975171259214356,21,33,4.754139202911459,98.42081709182001,0
0,0,0,0,0,1,0,0,0,0,8,3,7,1.117164821483975,2,186.05778103135742,26,30,5.6256767021705585,80.3273690081778,0
1,0,0,0,0,0,0,0,0,0,21,12,40,8.290366088504681,8,24823.036342525455,19,29,7.800179149332662,6.09330685115375,1
1,1,0,0,0,1,1,1,1,0,42,7,12,6.6417768388647795,21,22131.967965505835,19,26,7.166407230142798,27.825182624379615,1
0,0,0,0,0,1,0,0,0,0,8,1,2,2.898576362779631,1,219.15339118059637,26,30,5.250382075147128,94.66045574657952,0
0,1,1,0,0,1,0,0,0,0,5,3,3,0.38613122327605975,2,339.9020568812344,26,31,5.735850407765398,80.70061312183977,0
1,1,1,1,0,1,1,1,0,1,33,10,48,7.835409075257667,6,21914.592311027052,16,26,7.250148480321413,1.073140328760629,1
0,0,0,0,0,1,0,0,0,0,6,1,7,2.6948757622955566,2,326.2535576086455,23,33,5.744815192875675,89.82937409808092,0
1,1,0,1,0,1,1,1,0,0,35,17,29,7.922397911146384,21,23958.251429540138,19,26,6.797746254486215,19.851368647374645,1
1,1,0,1,1,1,1,1,0,1,22,14,46,8.208203725227024,20,16674.822761109765,16,28,7.0803402142740435,29.025928415074592,1
0,1,0,0,0,1,0,0,0,0,12,1,6,0.3203976276511633,2,112.67527605118234,26,31,5.482372889312629,87.61519130492827,0
1,1,0,0,1,1,0,1,1,0,21,15,11,6.081445565207928,8,1963.3089176458736,23,26,7.441732037533913,21.528696204304385,1
0,0,0,0,0,1,0,0,0,0,10,0,7,0.7844791971128903,2,49.74940460175466,26,30,4.780478725338689,97.05363259225723,0
0,0,0,0,0,0,0,0,0,0,12,1,3,2.4097343368838695,0,246.97300644189596,26,33,7.0,81.78644461361857,0
0,0,0,0,0,0,0,0,0,0,13,1,2,1.7227309281443053,1,242.11100013661584,26,34,5.102486182516052,95.01679943886151,0
1,1,0,0,0,0,0,0,0,0,2,1,1,1.403540347758368,0,17.242257497407152,26,32,6.533029919470794,95.48664744946605,0
1,1,0,0,0,1,1,1,0,0,13,15,43,7.8534415341910755,12,13575.882772227842,19,26,7.2650471894038535,2.012912331317387,1
0,0,1,0,0,1,0,1,0,0,4,1,5,0.27305095862938644,2,324.5234369502507,28,34,5.302226653918418,99.88235850212747,0
1,0,1,1,1,1,1,1,1,0,34,8,11,5.1179097968232,13,14924.03644765038,21,29,7.947831865133188,29.172447957789092,1
1,1,0,0,1,1,1,1,1,1,34,6,52,9.977024032284538,17,24056.787189466806,16,26,7.617469242442588,28.178545547850614,1
1,0,0,0,0,0,0,0,0,0,9,3,4,1.4282127614781772,1,185.46080168097407,28,30,5.970760221482313,97.12602240031639,0
1,1,1,0,1,1,0,1,1,0,36,15,26,9.888020942063797,12,4208.787544296749,19,28,7.6218001332043155,14.200685052874547,1
0,1,0,0,0,0,0,1,0,0,2,0,5,0.28529078531593344,1,23.90039007806188,21,31,5.965700106381724,82.57832936954621,0
1,1,0,0,1,1,0,1,1,1,40,15,11,6.049826864519686,21,13591.785236745334,21,28,7.450383070054254,23.755377162732888,1
0,0,1,1,1,0,0,0,0,0,12,0,4,0.6761290254840611,0,494.47111327667415,26,30,4.838739824799815,86.34678595002799,0
1,1,1,1,1,1,1,1,1,1,44,11,59,7.464392435379725,7,3489.6420537473264,23,26,7.543705329532559,11.763681143276008,1
0,0,0,0,0,0,0,1,0,0,9,0,6,2.051961317490189,2,33.63543756860704,28,30,5.668562829244798,85.41954823686213,0
0,0,0,0,0,1,0,0,0,0,2,0,6,0.8714824742787947,1,482.2992423183808,26,32,4.944636491056704,82.07622432421317,0
0,1,1,0,0,0,0,0,0,0,4,0,2,1.9139128647604151,2,75.4723516449912,21,30,6.180710005963841,94.7032798729372,0
1,1,1,1,1,1,0,1,1,0,39,6,44,9.625824584446754,14,1668.2713810269788,19,26,7.341438671490368,37.14198606471382,1
1,1,1,1,1,1,1,1,1,0,32,7,13,8.528797586637381,21,7665.1143896391895,16,28,7.98217100434266,38.11778968095605,1
0,1,1,1,1,1,0,1,1,0,16,14,20,5.420231362182427,5,13694.289429089185,23,29,7.7389599855976465,34.281113310042606,1
1,1,0,0,1,1,0,1,1,0,36,9,11,5.213513925545674,14,4425.177430021919,19,29,6.698599269727076,33.392696995309,1
1,0,1,1,1,1,0,1,1,1,25,5,32,5.583505030067712,17,5430.499444403406,16,28,7.2128162223868255,3.54799678639353,1
0,0,0,0,1,0,0,0,0,0,10,2,2,2.2485671056026506,2,47.79201679268785,28,33,5.846846347960558,99.13253507204281,0
0,1,0,0,0,0,0,0,0,0,12,1,4,0.7399707103361781,2,64.46654751212156,23,32,5.823050058154113,87.07828627671415,0
0,1,0,1,0,1,0,1,0,0,14,0,2,1.5312522664167303,2,426.9361044279891,28,34,5.964203203354455,82.205676513705,0
1,0,1,0,0,1,1,1,1,1,12,15,57,9.065445827144325,5,14927.22175175142,19,28,7.021353530206246,8.352045353010165,1
1,1,1,1,1,1,0,0,1,0,41,13,56,8.959458561139481,23,1876.5730834718063,21,29,7.308204969172655,17.663333054879878,1
0,1,0,1,1,1,0,1,0,1,42,8,12,8.47377493622212,11,9939.409361963568,16,30,7.076914313148411,9.785759689222475,1
1,1,0,1,1,1,0,1,1,1,26,12,40,5.033119873512237,4,4662.076619237341,19,26,7.133279053495576,22.05979248215248,1
0,1,1,0,0,1,0,0,0,0,4,2,6,2.866000801307356,2,235.3151298848771,21,33,5.81378170141117,85.12509690010798,0
1,1,1,1,0,1,1,0,0,0,24,7,39,8.41219219761446,22,11276.515267296978,16,30,7.69562941930551,20.74082560694082,1
0,0,0,0,0,0,0,0,0,0,6,0,7,1.8552692496541026,0,107.55448943454918,28,34,6.12581597663771,84.66638041778576,0
1,1,0,0,1,1,1,1,1,0,32,14,21,9.617978459211368,20,24197.567919162477,19,28,7.479615723018811,29.26395928718639,1
1,1,1,1,1,1,1,1,1,0,37,5,26,6.695236557266338,18,21200.37500763189,19,29,7.8076434100055385,21.082209586874715,1
1,0,0,1,1,1,0,0,0,0,4,0,5,0.880294020276082,1,176.9285360915446,28,34,5.669484930180217,82.4734500836353,0
0,1,1,0,0,0,0,0,0,1,10,1,6,2.4203936479580475,2,263.26917432496924,23,33,4.818630523191561,90.6885878673794,0
1,0,1,0,1,1,0,1,0,0,23,9,57,9.388648854558872,13,12251.021237754134,19,28,7.706318423363586,8.427359981962068,1
0,0,1,0,1,1,1,0,1,0,33,7,15,5.790097191655067,18,4619.094554936077,19,26,7.500953106463186,25.646078235602822,1
0,1,0,0,0,1,0,0,0,0,10,1,5,0.40601805269107394,1,335.9081359917624,23,34,6.5840201370891105,84.28457057402535,0
1,1,1,1,0,1,0,1,0,1,21,5,28,5.602939529146139,4,14670.632488906274,19,30,7.3072668951553235,10.182921965208171,1
1,1,1,1,1,1,0,1,1,1,27,5,27,8.071658833345216,21,17024.73553848252,16,28,7.99,34.98373673174018,1
0,0,0,0,1,0,0,0,0,0,3,1,4,0.29653124399078756,0,183.923380035684,21,31,6.944590358447195,92.51854854945579,0
0,1,0,0,0,0,0,0,0,0,12,3,0,0.9562029152965764,0,27.40842100893944,26,31,5.093225566403598,82.89944576032383,0
0,1,0,1,0,1,0,1,0,0,40,15,29,6.494933259797036,15,16328.729820000857,19,28,7.409864942368461,6.560867531016572,1
0,0,0,0,0,0,0,1,0,0,11,0,6,1.8626871470398396,1,66.5931571027611,30,34,6.1236559113976545,98.42272294424288,0
1,0,1,1,1,1,0,0,0,1,30,6,48,7.434354744226267,14,14857.399298525976,23,26,7.041979077106595,32.78844423568612,1
0,1,0,0,0,0,0,1,0,0,14,0,7,1.3114735396331139,1,258.85727965698663,26,32,5.796577957860728,91.82143323193539,0
0,0,0,0,0,1,0,1,0,0,4,1,1,1.8706130047763572,0,446.5972023389474,28,33,5.577354420637852,97.0480463163462,0
0,1,0,0,0,1,0,0,0,0,11,1,6,2.651874267763696,0,212.28719700519432,28,33,5.260754463287553,93.54943014850203,0
1,0,0,1,1,1,0,1,1,1,22,15,26,5.405263678810355,13,10632.561498461077,19,28,6.934979384954905,27.368597773250748,1
0,0,0,1,0,0,0,0,0,0,13,0,6,0.8936142272290577,2,104.71556782560518,26,34,6.860543912564294,87.85006081158046,0
1,1,1,0,1,1,0,1,1,1,41,13,39,8.977690274678885,18,11779.22846443839,19,29,7.045408264343229,5.706962102648334,1
1,1,1,1,1,1,1,0,0,1,22,9,14,8.800503924591402,11,14546.469075766818,16,28,7.102476245991962,26.691497901500362,1
0,1,1,0,0,1,0,0,0,0,6,1,2,1.6297683177039772,0,375.54625893413265,28,31,5.156728024505976,84.06403623100573,0
0,0,0,0,0,1,0,0,0,0,12,3,7,2.169166790965675,1,274.5887562685643,28,31,5.56100219118701,96.91550375033806,0
0,1,0,0,0,0,0,0,0,0,2,1,1,1.8143547660661095,1,206.37075441142986,23,33,5.028488442365059,92.65300244245759,0
0,0,1,0,0,1,0,0,0,0,8,3,0,1.8368567367836017,1,309.68614899679113,26,31,6.664087784353863,82.10551511179723,0
1,1,0,1,0,1,0,1,1,1,22,13,44,8.763982200189638,18,867.5381324839238,23,30,7.6729313004617525,31.119153070015436,1
0,0,0,0,0,0,0,0,0,0,13,1,3,1.0524192661354324,2,380.3271526837974,28,30,5.531778334272194,89.23538366918609,0
0,1,1,1,1,1,1,1,1,1,27,12,41,6.970627549688599,4,10749.720977976101,16,30,7.187033402369161,7.316346913345209,1
0,0,0,0,0,1,0,0,0,0,14,1,1,2.6725188233996384,2,176.23381777838225,26,34,5.84286128433809,97.91758645914527,0
0,0,0,0,0,0,0,0,0,0,13,2,4,2.8997918768724826,2,112.9296843674172,28,31,5.558631992829372,99.13976213186717,0
1,1,1,0,1,1,1,1,1,0,17,10,15,5.374198620519343,23,16154.296755131105,19,28,7.815115279378901,9.597853920252199,1
1,1,1,1,1,1,0,0,1,1,22,9,18,6.057189933434289,14,17666.184681405994,21,29,7.710371589255093,6.928292497536068,1
1,0,1,1,1,1,0,1,1,1,13,12,12,7.349341328772512,15,19815.78656229242,19,26,7.699965977970261,37.20229851124718,1
0,1,0,0,0,0,0,0,0,0,8,1,5,1.2521154856310548,1,10.53748834505274,30,30,6.126356983486807,99.5966383273922,0
1,1,0,1,1,1,0,1,0,0,33,5,30,6.3455890744578864,24,20624.920113284614,19,26,7.733171521975917,29.478190041478403,1
1,1,1,0,0,0,0,0,0,0,3,1,3,1.9982448672791677,1,67.03754203809504,21,33,6.017238914210919,95.02575176370377,0
1,1,1,1,1,1,0,1,0,1,23,13,30,9.82804078844952,6,22105.036703943257,19,30,6.745136858685784,27.119141458769857,1
0,0,1,0,0,0,0,0,0,0,4,2,5,0.23293716684131227,1,461.40196171094624,28,31,6.53972806400854,96.93562532865458,0
1,1,1,1,1,1,0,1,0,1,22,7,17,8.380613726434923,11,11729.668546722913,21,28,7.819333343759526,13.311413656892249,1
1,1,1,1,1,1,0,1,1,1,38,6,37,7.730950868794865,6,24909.90241987804,23,26,6.831858089869077,6.835432133101174,1
0,1,1,1,0,1,0,0,0,0,14,0,5,1.3015771392301108,0,140.0757136492322,23,31,6.1124749306135495,85.96199151045171,0
0,1,1,1,1,1,1,0,1,1,15,7,41,6.1912368212594,12,10976.535981434894,19,28,7.512308453507936,14.92794987853376,1
1,1,1,0,1,1,0,0,0,1,28,14,47,5.101992727788211,6,6917.66924675589,21,28,7.413699767261001,17.343997356110926,1
0,1,1,1,1,1,0,1,1,0,44,11,35,6.317642602870188,17,17872.42855084567,23,28,7.957920380459187,29.95066990695671,1
0,0,0,0,0,1,0,0,0,0,8,3,4,2.935263222882803,1,354.6782351951476,26,32,6.01638560957937,87.9180463021824,0
0,1,0,0,1,1,0,0,0,0,8,0,5,2.260948054482914,0,235.51583892638354,28,32,6.179637290542675,85.07276628803363,0
0,0,0,0,0,0,0,0,0,0,10,3,6,1.890280568465369,1,152.20507797478078,28,31,5.895727444313894,80.47524233531493,0
1,1,0,1,1,0,0,1,1,0,35,12,16,7.091844975053396,16,7028.1029117664975,19,28,7.741515466518681,12.26914846683789,1
1,1,0,1,0,1,1,1,1,1,33,9,18,6.610257110256116,4,2392.0244859154445,19,28,7.70670234592229,34.030221111285364,1
0,0,0,0,0,1,0,0,0,0,7,3,3,0.8535899801745216,2,146.70039311417892,28,33,5.646523206735697,82.48579302591526,0
0,1,1,1,1,0,1,1,1,0,15,5,29,9.583065081200925,4,24845.53380491412,19,28,7.443608954456544,5.649902469149031,1
1,1,0,1,1,1,1,1,0,1,17,11,18,9.269181036105916,16,1656.1262218602635,19,26,7.51429423688925,33.329558829282156,1
1,1,1,1,1,0,1,1,1,1,26,6,32,8.460838269501295,23,22043.837812899557,19,30,7.433285042981303,28.731709767876033,1
1,0,1,1,1,1,0,1,0,0,14,6,40,5.872635270857203,9,11561.002898937406,21,30,7.142801738140729,3.6657318009907014,1
0,0,1,1,0,1,0,0,0,0,13,2,1,1.8517502810250597,0,386.5751394715979,23,31,5.7904491206405435,95.7381830355145,0
1,1,0,0,0,1,0,1,0,1,26,7,53,7.010410442571203,4,5420.215649437347,23,26,7.99,12.882945326718197,1
1,1,1,0,0,0,0,0,0,0,10,1,0,2.2715238480254873,2,108.69200318973496,28,32,5.217968064937069,86.00506851589576,0
0,0,0,0,0,0,0,1,0,0,7,1,2,0.6741464018365252,2,343.9629573455007,28,30,5.90483987421181,99.59996561030333,0
0,0,1,1,1,0,0,0,0,0,11,0,6,2.423224738835298,2,206.5143316498016,21,34,5.73940699320148,93.70042325427389,0
1,1,0,1,1,1,1,1,0,0,35,15,12,7.901816937600042,22,6548.75094890958,21,26,7.756516299814127,12.611816780955266,1
0,1,0,0,0,0,0,0,0,0,11,3,3,0.40928142546515967,2,21.209581020461716,28,31,5.577380935973192,96.9800432386345,0
0,0,1,1,0,0,0,0,0,0,10,0,2,2.222550122602372,2,382.44077556900936,30,30,4.941189804046194,91.61910828418698,0
0,0,0,0,0,0,0,1,0,0,13,2,0,1.6957706258061775,2,216.44580703998534,28,30,6.196916239947994,84.84975153531832,0
1,1,1,1,1,0,1,1,1,1,15,15,39,7.24690343737335,23,17828.83989183628,19,30,7.408071406838176,1.2989130009308036,1
1,1,1,1,1,1,1,1,0,1,37,8,11,8.142429055777825,13,18634.875238058834,19,29,7.8673487764512915,17.57757624854979,1
1,0,1,1,1,1,1,1,0,1,39,9,13,8.856957739181793,14,19645.770375131753,21,29,6.9711038632453,7.246895629338512,1
0,0,0,0,0,0,0,0,0,0,7,1,3,0.32526089941519354,2,459.80575067916874,26,30,4.488165139710552,91.9558276981328,0
0,0,0,0,0,1,0,0,0,0,4,0,1,2.0618608147441595,0,483.8510896471302,28,32,4.386105711328339,89.47311318204518,0
1,1,1,1,0,1,0,1,1,0,30,11,55,9.46617136004729,15,1186.8570140359313,21,26,7.358811430313254,9.904105938627193,1
1,1,0,0,1,1,1,1,1,1,25,5,10,5.583017317843702,5,16421.594170267097,21,26,7.178206088710093,10.005335884799443,1
1,1,1,1,1,1,1,1,1,1,23,14,54,7.500453480650684,20,14106.937833678714,16,26,7.99,33.75673373843567,1
0,1,1,1,1,0,0,0,0,0,3,2,7,0.08059980575514958,0,304.8514122347824,23,34,6.24085650033492,90.88736452090788,0
0,0,0,0,0,1,0,0,0,0,4,0,6,0.48400844499977913,2,292.1080737932381,30,32,6.392554345465365,98.95542873530388,0
0,0,1,0,0,1,0,0,0,0,12,1,2,2.009600338027812,2,166.36788976898967,23,31,5.191040553348394,89.38791726984749,0
1,1,0,0,1,0,0,1,1,0,17,17,25,7.061529107394797,8,19545.088103766768,23,28,7.624000500710997,14.952245814510166,1
0,1,0,0,0,1,0,0,0,0,5,1,0,0.2646187882630592,2,396.72207802034006,23,34,5.074245695556035,94.57782870174837,0
1,1,0,1,1,1,0,1,1,0,34,5,26,6.643960267244016,18,5243.342210331628,19,28,7.742220101030453,31.041046765836214,1
1,1,0,0,0,1,0,1,0,0,16,14,40,5.045385823585026,11,14913.905500199051,19,26,7.978568868356182,14.80464811776292,1
0,1,0,0,0,0,0,0,0,0,3,2,5,2.0218565431096787,2,112.27549928501901,21,32,6.57792657498521,83.54238009069307,0
1,1,0,1,1,0,0,1,1,1,12,8,59,8.37749141887948,16,1099.394147075605,19,30,7.3267767295445605,7.2588404810010365,1
0,0,1,0,0,0,0,0,0,0,4,2,5,2.4468802521646946,1,416.00264384148414,28,34,6.075772830645949,88.93912940487635,0
1,1,1,1,1,1,1,1,1,1,21,5,45,9.667277948440095,9,12818.736936414318,19,26,7.316768754426799,1.1208875865225965,1
1,1,1,1,1,1,1,1,0,1,30,13,26,8.279050968002606,4,10413.298757614695,19,26,7.99,17.657897794397833,1
0,1,0,0,0,1,0,1,0,0,11,0,6,1.4097779804989972,0,340.4684074509267,30,31,5.014702279280506,99.37402206569067,0
1,1,1,1,1,1,0,1,0,0,21,8,33,7.4480869773567635,14,22751.30532336354,21,26,7.310687241014756,26.35393518410133,1
1,0,1,0,1,1,0,0,0,0,13,0,7,0.8628174025333669,1,373.18974431026567,28,33,5.09099242881807,86.60520288956847,0
0,1,1,1,0,0,0,0,0,0,11,3,7,2.4390860363682396,2,16.60046026894146,30,34,5.628950422699496,86.68410865571062,0
1,1,0,1,1,0,0,1,1,1,31,10,46,7.2407140807875905,9,18259.064386954073,19,28,7.3773028480849945,18.47727427296909,1
0,0,0,1,0,1,0,0,0,0,14,3,1,0.834711539076117,0,186.91197683614976,21,30,6.130417862075664,81.64917447448488,0
0,0,0,0,0,1,0,0,0,0,5,1,1,0.35272447198648704,0,470.92712942343826,26,32,5.958184458075332,89.98712151850407,0
0,0,1,0,0,1,0,1,0,0,14,1,6,2.085838905273519,0,123.57904323485666,21,31,5.606200537481929,80.64026906380113,0
1,0,0,1,1,1,1,1,1,1,20,9,44,7.627808627701906,12,3273.5418060288043,23,28,7.032528935611669,10.519051907900128,1
0,0,0,0,0,1,0,0,0,0,5,3,5,0.839443979983675,1,376.24529451088637,23,31,5.089716535806031,89.64674955287637,0
0,1,0,0,0,1,0,0,0,0,10,2,0,1.0158944865204367,0,192.72182394167052,21,33,6.118785004540969,94.70060345641447,0
0,1,0,0,1,0,0,1,0,0,13,3,7,0.7450577101519881,1,387.56974842512886,26,32,6.204211093186278,97.03085631186424,0
0,1,0,1,1,0,0,0,0,0,12,1,2,2.402172290808624,1,487.11135884368286,26,30,5.481814216766588,89.74930853298702,0
0,1,0,1,0,0,0,0,0,0,11,3,0,1.0475151802902505,0,215.09646414145718,28,33,5.743142748124855,84.47291449171345,0
1,1,1,1,1,1,0,0,0,1,25,16,24,7.851764633975546,15,3166.5311267864586,16,28,6.849856760739955,35.41145314642306,1
1,1,1,1,1,1,0,1,1,1,30,9,33,7.558380112782898,14,3770.3599138621234,16,29,7.377957559187617,33.366380194756616,1
0,1,0,0,0,1,0,0,0,0,5,2,5,2.4277509526716408,0,399.60743092623886,23,34,5.592160224104817,98.1680719931544,0
0,1,0,0,0,0,0,0,0,0,3,3,4,1.4321012738115138,0,421.7996512952271,28,31,5.662685484644074,81.53448227555118,0
1,1,0,1,1,0,0,1,0,1,19,9,10,8.304821184309276,16,13145.927819998326,19,30,7.4123757760586715,18.374888364956327,1
0,1,1,0,0,0,0,0,0,0,9,3,0,0.7867580286722163,1,371.2983310124095,28,30,6.646555213122882,95.99493498909693,0
